author_handle,content,published_at,like_count,reply_count,parent_id,is_reply
@지무비,"🎬영화, ≪하이파이브≫는 오는 5월 30일 개봉합니다.<br>📌 ≪하이파이브≫  바로 보러 가기 → <a href=""https://vo.la/QPhUZA"">https://vo.la/QPhUZA</a><br>---<br>📌 지무비 멤버십 가입 → <a href=""https://www.youtube.com/channel/UCaHGOzOyeYzLQeKsVkfLEGA/join"">https://www.youtube.com/channel/UCaHGOzOyeYzLQeKsVkfLEGA/join</a><br>*멤버십에 가입하시면 일부 영상들의🔥결말 끝까지 다룬 영상🔥멤버십 한정 히든 영상🔥영상 선공개🔥회원 전용 특별 포스팅을 즐기실 수 있습니다.(하이파이브의 결말을 의미히는 것은 아님을 알려드립니다. 결말 허가가 가능한 작품에 한해서)<br>---<br>📌리씨네님의 다른 시각 &lt;하이파이브&gt; 소개 영상 보러 가기 → <a href=""https://www.youtube.com/watch?v=4GjoleZD6Pk"">https://youtu.be/4GjoleZD6Pk</a><br>📌오티티님의 다른 시각 &lt;하이파이브&gt; 소개 영상 보러 가기 → <a href=""https://www.youtube.com/watch?v=92rceggVtyg"">https://youtu.be/92rceggVtyg</a>",2025-05-25T00:55:14Z,577,12.0,,False
@fox80123,​@hunter-2023뇌피셜 지리네 ㅋㅋ,2025-05-25T08:14:43Z,0,,UgyXZCJZSPLQy474KR94AaABAg,True
@DraF_6412,@hunter-2023 니 목 위에 있는게 중국풍이다 ㅋㅋㅋㅋ,2025-05-25T08:15:40Z,1,,UgyXZCJZSPLQy474KR94AaABAg,True
@davidqw4763,한국의 cg는 속도감이 현실적이지 못하고 너무 부자연스럽다 작업을 대충하는 느낌,2025-05-25T23:43:05Z,2,,UgyXZCJZSPLQy474KR94AaABAg,True
@Kys_3605,이런걸 원했어ㅋㅋ,2025-05-26T04:29:20Z,2,,UgyXZCJZSPLQy474KR94AaABAg,True
@mungaj,@davidqw4763 cg 기술은 어차피 쓰는 프로그램이 다 거기서 거기일테니 헐리웃이랑 차이는 없을 것 같은데 실력이 없는 듯,2025-05-26T17:09:13Z,0,,UgyXZCJZSPLQy474KR94AaABAg,True
@tshj1052,주성치냄새난다ㅋㅋ존잼일듯ㅋㅋㅋㅋ,2025-05-27T23:42:06Z,2,,UgyXZCJZSPLQy474KR94AaABAg,True
@goyangyi,거의 무슨 나루토 ㄷ,2025-05-31T16:13:46Z,1,,UgyXZCJZSPLQy474KR94AaABAg,True
@goyangyi,폐 : 풍둔<br>심장 : 체술<br>각막 : 동술<br>간 : 피해흡수<br>췌장 : 능력 흡수,2025-05-31T16:29:51Z,0,,UgyXZCJZSPLQy474KR94AaABAg,True
@송선종-v6p,이런거 어떻게 보나요?,2025-06-01T08:11:16Z,0,,UgyXZCJZSPLQy474KR94AaABAg,True
@sohuhwhat1702,​@goyangyi  신장은?,2025-06-02T22:00:55Z,0,,UgyXZCJZSPLQy474KR94AaABAg,True
@Milidory,밧데리맨은 이렇게 순삭인가요?,2025-06-03T08:50:56Z,0,,UgyXZCJZSPLQy474KR94AaABAg,True
@TH06Lee,나 보고왔는데 각막 핑거스냅 날리면 인터넷 다루는 좀사기능력 (발가락 스넵 ㄷㄷ),2025-06-07T12:26:20Z,0,,UgyXZCJZSPLQy474KR94AaABAg,True
