author_handle,content,published_at,like_count,reply_count,parent_id,is_reply
@오리온0822,이천수 정치 하라고 하면 안될까?,2024-11-23T15:09:05Z,0,0,,False
@EunjeongYang-p2o,아   이천수 나와서 안볼란다,2024-11-24T04:01:40Z,1,0,,False
@zaichanzheng-nl7rh,다 좋은데 천수는 좀 안 나왔으면 좋겠다,2024-11-23T13:40:01Z,0,0,,False
@시크한멘토,천수야..넌 선건운동 가야지..시민한테 함께 욕하면서 선거운동 해야지ㅋㅋ,2024-11-22T14:19:56Z,0,0,,False
@데스난,심사기준 역겨워서 안볼란다,2024-11-23T04:20:46Z,1,0,,False
@hungki8194,천수 나오는건 안 볼란다,2024-11-23T03:11:00Z,0,0,,False
@jkyoon6544,이천수는 정치색이 짙은데 좀 그렇네요,2024-11-24T11:25:48Z,0,0,,False
@우주인-c9g,뭔 조회수가 1억이야 ㅋㅋ 좀 정직하게 삽시다요,2024-11-24T03:48:56Z,0,0,,False
@asingyoju,이천수 때문에 안봄..,2024-11-23T12:16:02Z,0,0,,False
@남신-m7q,아니 이천수 저것은 왜 여기 나와 ? 가서 원희룡이나 따라 다니지.. 정치입문을 하던가.. 여기가 놀이터냐?,2024-11-23T21:48:33Z,1,0,,False
@user-SingFood,어 이천수 국민의힘 2찍 나왔네???<br>재미 좋나봐?,2024-11-26T11:11:00Z,1,0,,False
@A미니-z1v,이천수는 안보였음 좋겠다,2024-11-23T07:34:39Z,1,0,,False
@cks7704,이천수? 정치판이나 기웃거리지 예능은 왜 나옴?,2024-11-23T13:02:27Z,2,0,,False
@인생전환점,요즘은 원희룡하고 안다니시나요?,2024-11-23T14:09:00Z,0,0,,False
@simon-bx4py,프로출신들이  나온게  맞나?      좀 아닌듯.     다 자기들하고     관련있는  사람만  뽑네.,2024-11-22T17:29:32Z,0,0,,False
@707jw77,천수 정치 안하냐,2024-11-24T12:13:16Z,0,0,,False
@roxy_hoxy,조회수 빨아먹을려고<br>썸네일 봐라ㅋㅋㅋ,2024-11-23T03:48:28Z,0,0,,False
@알딸딸-c7f,개천순  쫌 거르자,2024-11-23T13:53:23Z,0,0,,False
@김성조-v5g,정치색이 강한 놈은 안 나왔으면 좋겠어요,2024-12-01T13:43:03Z,0,0,,False
@noek-c3j,기준이 없는거같음,2024-11-22T15:56:55Z,0,0,,False
@워니짱-0316,아니...키퍼없는 골대에 넣는게 힘든가.ㅈ답답하누,2024-11-24T03:18:59Z,0,0,,False
@그러하듯,입천수 얼굴은 왜 보여  <br>2찍 안보이게할수 없나요 어디서 압력받으셨나?,2024-11-30T04:24:46Z,1,0,,False
@moonsun5963,아 제발 정치하는 이천수는 안나왔음 좋갰는데,2024-11-22T15:08:34Z,0,0,,False
@김희태-c4b,허접,2024-11-29T15:01:16Z,0,0,,False
@쿠쿠팡-r4z,이천수씨? 이재명이 시킨거에요?,2024-11-24T02:51:05Z,1,0,,False
@난천-t7c,"재밋을것 같아서 들어왔는데... 이천수는 원희룡이나 따라다니지 자꾸 나오네, 싫어요 누르고 안봅니다. 수고하세요.",2024-11-23T06:45:31Z,1,0,,False
@moonbell6126,천수야 원희롱이 뭐하냐?,2024-11-23T09:12:18Z,0,0,,False
@이수진-b9i1d,이천수 진짜 보기싫타 ㅠㅠ.<br>강남 쩜오좀 그만가라 <br>나 너뒤에 있었당 ㅋㅋ,2024-11-23T06:04:58Z,1,0,,False
@codeplay6536,이천수 역거워서 안 본다,2024-11-22T12:50:11Z,1,0,,False
@쇠파이프-1004,천수씨 재미없어요,2024-11-22T14:46:21Z,0,0,,False
@성현-b6o,방송 만드는 놈들아 낚시 하지마라. 그렇게 돈돈돈 벌면 좋냐?,2024-11-24T04:47:05Z,0,0,,False
@bulbob100,이천수 나오면 안봄 원희룡 시다바리 정치인은 좀 거르자 꼴보기 싫다 진짜,2024-11-23T13:16:00Z,1,0,,False
