author_handle,content,published_at,like_count,reply_count,parent_id,is_reply
@나루-h4d,만화보는줄...ㅋㅋㅋ,2025-05-31T03:08:18Z,1,0.0,,False
@100PA55,짜친다 쩌쳐,2025-06-06T06:06:03Z,1,0.0,,False
@Sumo만다린,재밌을거같은데요!!😊,2025-05-30T11:41:55Z,0,0.0,,False
@naoxj,마지막에 2초나온 병상에서 깬 소방관 누구에요..,2025-06-09T07:45:50Z,0,0.0,,False
@그냥아저씨-h9d,재밋게봤음 ㅋ,2025-06-11T04:14:17Z,1,0.0,,False
@DinoraUmaña,They look very good movie,2025-06-18T20:51:51Z,0,0.0,,False
@JamesS-fu6vh,쿵푸허슬 : ...하..,2025-05-31T10:38:44Z,0,0.0,,False
@PlayShorts3,😂😂😂😂 they had me at the bag... where can i watch this?,2025-06-27T16:44:35Z,0,1.0,,False
@TaekiKang,Never. All reply is fake. This is destroyer of korean movie.,2025-09-09T17:08:16Z,0,,UgyEhawm8sBjk8RmE7B4AaABAg,True
@하민백-m8g,유아인은 안나와요?,2025-06-05T07:22:48Z,1,0.0,,False
@이찬-p2k,유아인님 왜 안나오나요…,2025-06-06T11:57:07Z,1,0.0,,False
@jennyqueen-i4i,이런 드라마 좋앙,2025-06-20T02:20:44Z,0,0.0,,False
@일상-c4q,어~~이 태권!!,2026-03-07T01:26:37Z,0,0.0,,False
@noeyeehmik0613,ㅋㅋㅋ신선했다,2025-09-27T02:00:46Z,0,0.0,,False
@하하호-t6e,영화관에서 봄. 재밌음~~~~.,2025-07-02T15:18:56Z,0,0.0,,False
@미몽-t7i,생각보다 재밌더라,2026-04-18T09:11:13Z,0,0.0,,False
@Kaoqpqpldu,감독이 경이로운 소문이에요?,2025-06-08T00:50:43Z,0,0.0,,False
@cdaccdac,걍 갓핑크 아님??,2025-06-04T16:41:57Z,0,0.0,,False
@태영-s5l,각막은 도박때문에 나오지 못한 상태일까요?,2025-06-02T15:51:05Z,0,0.0,,False
@jangseop01,요거 만화 같은걸~~~~재밌겠네 ㅋㅋㅋㅋ,2025-05-31T07:54:32Z,0,0.0,,False
@조성현-d6s,보고왔다 돈 아깝지않다,2025-06-04T15:38:31Z,0,0.0,,False
@pupster4058,ㅋㅋㅋㅋ ㅈㄴ 재밌어보임,2025-05-30T19:31:39Z,0,0.0,,False
@ankitkundaliya1729,Name of the  movie/series please,2025-06-08T15:35:05Z,0,0.0,,False
@Kisha-03,하이파이브  왜  넷플릭스 없어,2025-06-06T03:24:52Z,0,0.0,,False
@bonjourmacaron,유아인 연기 &amp; 간지 지리네요,2025-08-02T14:54:32Z,0,0.0,,False
@panorama1029.,신구 건강하네 ㅠㅠ,2025-06-01T08:03:21Z,0,0.0,,False
@cityrose4692,유아인? 유아인이 나온다고요? 진짜? 영화표 100개 사서 뿌려야겠네요!! ❤❤❤,2025-05-31T04:32:49Z,0,1.0,,False
@전순연-w1q,유아인  연기  너무  잘해요   코미디도  너무 소화잘함,2025-06-05T08:34:38Z,0,,UgwiL00_h2ziOGL1tJF4AaABAg,True
@김민정1-y8c,왜 와이파이맨은 안나와요ㅠㅠ,2025-06-01T12:23:41Z,0,0.0,,False
@이게맞아-p5x,뭔가 전우치 생각난다,2025-05-31T17:09:42Z,0,0.0,,False
@AlD-h3s,와 진짜 보고싶음ㅠㅜ,2025-05-30T10:23:26Z,0,0.0,,False
@홍쓰-b7t,능력이 다 다르다면서....,2025-05-31T14:07:32Z,0,0.0,,False
@hinav26,not everything has to have a meaning all the time. sometimes meaningless seems fun.,2025-06-22T13:02:17Z,0,0.0,,False
@ittembox,대박,2025-06-05T05:26:07Z,0,0.0,,False
@cyum31,ㅋㅋㅋㅋ 넘 재밌겠다,2025-06-03T01:17:28Z,0,0.0,,False
@Cina-t6k,What’s the movie title ?,2025-06-04T14:22:24Z,0,0.0,,False
@삐삐욤,나루토에서 봤듯이 눈이 최고다,2025-05-31T16:25:02Z,0,0.0,,False
@dear2707,보로 가고 싶다 오마이갓,2025-06-03T11:55:08Z,0,0.0,,False
@밤고래님,유아인 부분궁금하네  안구이식이라는데,2025-06-01T12:46:54Z,0,1.0,,False
@lime2839-x3c,유아인 부분이 제일 재밌어요.. 그 부분만 모두 홍보영상에 다 뺐음... 유아인 안나왔음 보다가 갈뻔..ㅋ,2025-06-02T23:46:14Z,0,,UgxmsvaSjFmaYGJOJZF4AaABAg,True
@설빙-s5o,품행제로에 연장선?,2025-06-12T10:12:19Z,0,0.0,,False
@류설-0924,개 반전 이야기 이 영화 개재미슴 ㄷㄷ,2025-06-16T12:45:53Z,0,0.0,,False
@730kim,보통은 이렇게 보는게...영화의 전부라던데??,2025-06-01T13:47:24Z,0,0.0,,False
@normafloresvaldez7292,Pero me deberían pasar completa la serie me deja a medias 😢,2025-06-03T03:40:02Z,0,0.0,,False
@오작교-s9f,하이파이브 !,2025-07-12T04:46:07Z,0,0.0,,False
@GlitchMan2030,아~ 잘봣다~,2025-05-31T04:19:44Z,0,0.0,,False
@빌세따-m2x,아~ 미지의 서울 아역이구나,2025-05-30T10:48:41Z,0,0.0,,False
